"xcut","id","experiment","site","year","field.year","timing.1cut","follow.cut","env","age","block","plot","trt.num","trt.code","treatment","date","gdd","precip","water","yield","yield.Mg","dry.matter","protein","ADF","NDF","NDFD48"
3,37,"FIG17","I2",2017,"first","dough","october","I2.2017",6,4,401,9,"d3","DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,38,"FIG17","I2",2017,"first","dough","september","I2.2017",6,4,402,8,"d2","DS",2017-07-17,1788.06,543.306,48.67,4147.02,4.14702,95.59,2.44,40.37,72.58,61.09
2,38,"FIG17","I2",2017,"first","dough","september","I2.2017",6,4,402,8,"d2","DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,38,"FIG17","I2",2017,"first","dough","september","I2.2017",6,4,402,8,"d2","DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,39,"FIG17","I2",2017,"first","dough","none","I2.2017",6,4,403,7,"d1","DN",2017-07-17,1788.06,543.306,41.78,3998.77,3.99877,95.08,3.18,38.66,70.43,61.92
2,39,"FIG17","I2",2017,"first","dough","none","I2.2017",6,4,403,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,39,"FIG17","I2",2017,"first","dough","none","I2.2017",6,4,403,7,"d1","DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,40,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,4,404,4,"a1","AN",2017-06-21,1256.39,502.158,67.56,3564.56,3.56456,97.09,4.79,39.38,74.8,77.15
2,40,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,4,404,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,40,"FIG17","I2",2017,"first","anthesis","none","I2.2017",6,4,404,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,41,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,4,405,6,"a3","AO",2017-06-21,1256.39,502.158,66.47,3758.34,3.75834,96.45,4.5,40.87,75.85,67.36
2,41,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,4,405,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,41,"FIG17","I2",2017,"first","anthesis","october","I2.2017",6,4,405,6,"a3","AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,42,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,4,406,5,"a2","AS",2017-06-21,1256.39,502.158,66.62,3257.49,3.25749,96.05,4.34,38.95,71.19,72
2,42,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,4,406,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,42,"FIG17","I2",2017,"first","anthesis","september","I2.2017",6,4,406,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,43,"FIG17","I2",2017,"first","boot","none","I2.2017",6,4,407,1,"b1","BN",2017-06-08,969.72,436.372,46.09,5659.32,5.65932,94.4,6.67,37.67,67.76,67.94
2,43,"FIG17","I2",2017,"first","boot","none","I2.2017",6,4,407,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,43,"FIG17","I2",2017,"first","boot","none","I2.2017",6,4,407,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,44,"FIG17","I2",2017,"first","boot","september","I2.2017",6,4,408,2,"b2","BS",2017-06-08,969.72,436.372,45.41,4847.59,4.84759,94.22,5.28,38.42,69.45,63.73
2,44,"FIG17","I2",2017,"first","boot","september","I2.2017",6,4,408,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,44,"FIG17","I2",2017,"first","boot","september","I2.2017",6,4,408,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,45,"FIG17","I2",2017,"first","boot","october","I2.2017",6,4,409,3,"b3","BO",2017-06-08,969.72,436.372,46.93,3870.21,3.87021,94.27,6.35,36.78,67.17,72.07
2,45,"FIG17","I2",2017,"first","boot","october","I2.2017",6,4,409,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,45,"FIG17","I2",2017,"first","boot","october","I2.2017",6,4,409,3,"b3","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,46,"FIG17","I2",2017,"first","grain","none","I2.2017",6,4,410,10,NA,"GN",2017-08-09,2281.39,692.658,47.37,5502.05,5.50205,96.98,2.38,43.84,79.54,49.09
2,46,"FIG17","I2",2017,"first","grain","none","I2.2017",6,4,410,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,46,"FIG17","I2",2017,"first","grain","none","I2.2017",6,4,410,10,NA,"GN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,47,"FIG17","I2",2017,"first","grain","october","I2.2017",6,4,411,12,NA,"GO",2017-08-09,2281.39,692.658,48.22,4952.56,4.95256,95.31,1.33,35.44,67.43,51.42
2,47,"FIG17","I2",2017,"first","grain","october","I2.2017",6,4,411,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,47,"FIG17","I2",2017,"first","grain","october","I2.2017",6,4,411,12,NA,"GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,48,"FIG17","I2",2017,"first","grain","september","I2.2017",6,4,412,11,NA,"GS",2017-08-09,2281.39,692.658,46.15,4189.08,4.18908,96.47,1.85,39.44,73.23,50.49
2,48,"FIG17","I2",2017,"first","grain","september","I2.2017",6,4,412,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,48,"FIG17","I2",2017,"first","grain","september","I2.2017",6,4,412,11,NA,"GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,49,"FIG18","R100",2018,"first","boot","september","R100.2018",2,1,101,2,"b2","BS",2018-06-07,784.17,267.97,77.34,2296.05,2.29605,93.39,9.33,39.2,66.68,58.13
2,49,"FIG18","R100",2018,"first","boot","september","R100.2018",2,1,101,2,"b2","BS",2018-09-27,2338.33,555.75,65.54,1315.18,1.31518,94.62,8.1,40.4,73.95,41.84
3,49,"FIG18","R100",2018,"first","boot","september","R100.2018",2,1,101,2,"b2","BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,50,"FIG18","R100",2018,"first","boot","none","R100.2018",2,1,102,1,"b1","BN",2018-06-07,784.17,267.97,78.09,1620.94,1.62094,93.39,9.33,39.2,66.68,58.13
2,50,"FIG18","R100",2018,"first","boot","none","R100.2018",2,1,102,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,50,"FIG18","R100",2018,"first","boot","none","R100.2018",2,1,102,1,"b1","BN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,51,"FIG18","R100",2018,"first","boot","october","R100.2018",2,1,103,3,"b3","BO",2018-06-07,784.17,267.97,78.3,1036.86,1.03686,93.39,9.33,39.2,66.68,58.13
2,51,"FIG18","R100",2018,"first","boot","october","R100.2018",2,1,103,3,"b3","BO",2018-09-27,2338.33,555.75,58.19,1105.88,1.10588,94.62,8.1,40.4,73.95,41.84
3,51,"FIG18","R100",2018,"first","boot","october","R100.2018",2,1,103,3,"b3","BO",2018-11-01,237.5,95.25,34.39,337.47,0.33747,94.4,5.06,42.82,74.21,42.85
1,52,"FIG18","R100",2018,"first","anthesis","september","R100.2018",2,1,104,5,"a2","AS",2018-06-25,1169.17,433.832,70.76,3742.92,3.74292,95.18,5.13,46.99,78.25,45.09
2,52,"FIG18","R100",2018,"first","anthesis","september","R100.2018",2,1,104,5,"a2","AS",2018-09-27,1953.33,389.89,73.49,1014.09,1.01409,93.78,9.85,37.68,69.11,42.05
3,52,"FIG18","R100",2018,"first","anthesis","september","R100.2018",2,1,104,5,"a2","AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,53,"FIG18","R100",2018,"first","anthesis","none","R100.2018",2,1,105,4,"a1","AN",2018-06-25,1169.17,433.832,69.1,3532.01,3.53201,95.18,5.13,46.99,78.25,45.09
2,53,"FIG18","R100",2018,"first","anthesis","none","R100.2018",2,1,105,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,53,"FIG18","R100",2018,"first","anthesis","none","R100.2018",2,1,105,4,"a1","AN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,54,"FIG18","R100",2018,"first","anthesis","october","R100.2018",2,1,106,6,"a3","AO",2018-06-25,1169.17,433.832,68.58,2506.07,2.50607,95.18,5.13,46.99,78.25,45.09
2,54,"FIG18","R100",2018,"first","anthesis","october","R100.2018",2,1,106,6,"a3","AO",2018-09-27,1953.33,389.89,65.99,982.5,0.9825,93.78,9.85,37.68,69.11,42.05
